Date,AAPL,AMZN,GOOGL,META,MSFT,NVDA,TSLA
2022-11-14,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2022-11-15,101.18694241132037,100.45690383531043,102.86312012810102,102.50393885687092,100.1738834086431,102.27676639334031,101.8172303095892
2022-11-16,100.34394787226452,98.60900076464367,103.29153899429653,99.1332532266098,100.35653932524329,97.63729688763291,97.88950047462465
2022-11-17,101.64555350203321,96.30419385866648,102.77952502827976,97.57485508239391,100.3357766440489,96.20741090232617,95.92563555714239
2022-11-18,102.02993695037621,95.58330940352138,101.8077299860616,98.10016145230323,100.14480788596025,94.56273585574539,94.36501980685945
2022-11-21,99.81793022706074,93.8775521270317,99.89551816600026,96.18280193909439,100.48939588301992,93.9981352446841,87.91306509561736
2022-11-22,101.2813617273042,94.62889528859121,101.41065727550294,97.56610468074575,101.72655904946673,98.42280982952934,88.98141208568032
2022-11-23,101.88159656910769,95.57315391926166,102.88401488946405,98.26649973248101,102.78522272005755,101.37461249079018,95.9413458372033
2022-11-25,99.88535767309189,94.84212172622162,101.8390921960675,97.53982659284696,102.74785377841305,99.8465491069226,95.76329066918841
2022-11-28,97.26195473994053,95.39039393441044,100.36574260929092,95.23726794717795,100.36898916494918,97.12793461355957,95.79471122931024
2022-11-29,95.20502591961166,93.83693793635757,99.4670912726202,95.83260441322676,99.77531373531318,95.97419929607597,94.70018576647028
2022-11-30,99.83139482472677,98.0201066194159,105.52767981936908,103.39695027668272,105.92384479018557,103.88048877871302,101.96386491748228
2022-12-01,100.0202543482346,96.96416090098279,105.52767981936908,105.445626301261,105.73701303031429,105.18185641829396,101.96386491748228
2022-12-02,99.68303355191803,95.57315391926166,104.9529815692632,108.11591687978688,105.8740324830108,103.59197438000578,102.04765840513168
2022-12-05,98.88725389373914,92.4053245103271,103.94985642577727,107.18788369116675,103.8729424908044,101.95915328014469,95.54857285370684
2022-12-06,96.3784723959557,89.60300732473017,101.33752962432456,99.91246237982563,101.76392799111123,98.13492826633656,94.17125435878364
2022-12-07,95.04992712508485,89.81622601599578,99.20587063325175,99.74611065817068,101.45256546330302,98.9513563950314,91.14427654759643
2022-12-08,96.2031505905046,91.73520198375107,97.92058995311162,100.97181207981522,102.71049131094416,105.39053978877122,90.83006295539136
2022-12-09,95.8726777616762,90.45588208979261,97.00105990944694,101.47085380330294,101.88847818157498,104.35928744127374,93.76800519158431
2022-12-12,97.4440349586499,91.93827293712175,97.50262248118989,100.42899818587104,104.83196212451887,107.63719961847049,87.88688662284036
2022-12-13,98.10494927899639,93.90801083344611,99.92685629445253,105.19173695943167,106.66281366895288,110.93355777899578,84.2890806601418
2022-12-14,96.58079651712956,92.98406317129513,99.34169862288833,106.45245342914598,106.78737680776787,108.49044939876524,82.11574001452281
2022-12-15,92.0555635581761,89.80607053173605,94.94252856955251,101.68972809706251,103.37889814969357,104.05849134591574,82.57135411826293
2022-12-16,90.71351190655884,89.20702864861335,94.31557334807766,104.56136528309735,101.58542202107965,101.71976566804051,78.67504484342021
