Date,avg_corr_3m
2022-11-15,
2022-11-16,
2022-11-17,
2022-11-18,
2022-11-21,
2022-11-22,
2022-11-23,
2022-11-25,
2022-11-28,
2022-11-29,
2022-11-30,
2022-12-01,
2022-12-02,
2022-12-05,
2022-12-06,
2022-12-07,
2022-12-08,
2022-12-09,
2022-12-12,
2022-12-13,
2022-12-14,
2022-12-15,
2022-12-16,
2022-12-19,
2022-12-20,
2022-12-21,
2022-12-22,
2022-12-23,
2022-12-27,
2022-12-28,
2022-12-29,
2022-12-30,
2023-01-03,
2023-01-04,
2023-01-05,
2023-01-06,
2023-01-09,
2023-01-10,
2023-01-11,
2023-01-12,0.6081690856158605
2023-01-13,0.6057266529170644
2023-01-17,0.5920387952844277
2023-01-18,0.5919938117307245
2023-01-19,0.5805878009026254
2023-01-20,0.5958943865636221
2023-01-23,0.6000076698133601
2023-01-24,0.5961959103079002
2023-01-25,0.59233515699538
2023-01-26,0.6033743676974312
2023-01-27,0.6068258146170931
2023-01-30,0.6173063109986792
2023-01-31,0.61984333052502
2023-02-01,0.6236231908941927
2023-02-02,0.6248493869671972
2023-02-03,0.6030338173643407
2023-02-06,0.6012302057942099
2023-02-07,0.598637174229672
2023-02-08,0.5866859393275397
2023-02-09,0.5827239110939358
2023-02-10,0.5815395637936047
2023-02-13,0.5799108141885568
2023-02-14,0.5758288377410848
2023-02-15,0.5717952351674874
2023-02-16,0.5777540736898306
2023-02-17,0.5766670752593991
2023-02-21,0.5849082514998014
2023-02-22,0.5827494544051897
2023-02-23,0.5653159549350729
2023-02-24,0.5678602890056987
2023-02-27,0.5670700955210594
2023-02-28,0.5657800217857968
2023-03-01,0.5370733751995542
2023-03-02,0.5328230818141968
2023-03-03,0.5395858927424
2023-03-06,0.5323494064169563
2023-03-07,0.5256013661181113
2023-03-08,0.5239355562284458
2023-03-09,0.5317921560913317
2023-03-10,0.5346700537326564
2023-03-13,0.5411672670148254
2023-03-14,0.5529101397196292
2023-03-15,0.5514425174836703
2023-03-16,0.5500540736092153
2023-03-17,0.5467633326550645
2023-03-20,0.5369954466580351
2023-03-21,0.541761880770196
2023-03-22,0.5438851657283512
2023-03-23,0.5276896180984719
2023-03-24,0.5285251183031975
2023-03-27,0.5294246120801541
2023-03-28,0.5225596534079655
2023-03-29,0.5259819780938388
2023-03-30,0.5150172782931877
2023-03-31,0.5166492781684989
2023-04-03,0.5146110257431606
2023-04-04,0.5318028864917717
2023-04-05,0.550394975207833
2023-04-06,0.5409870220985568
2023-04-10,0.5408106135804367
2023-04-11,0.5430036983990945
2023-04-12,0.5469718810791176
2023-04-13,0.5478027181901508
2023-04-14,0.5485934910693959
2023-04-17,0.546133253623978
2023-04-18,0.5527059861855951
2023-04-19,0.5486160288576212
2023-04-20,0.551906268435873
2023-04-21,0.5363494619262956
2023-04-24,0.532392997401917
2023-04-25,0.5397809312119494
2023-04-26,0.5196006735105403
2023-04-27,0.5204354814760558
2023-04-28,0.5130669822503225
2023-05-01,0.4913338471744285
2023-05-02,0.484575983111092
2023-05-03,0.4540728490862459
2023-05-04,0.4747915463341104
2023-05-05,0.4730140619783172
2023-05-08,0.4682075535158002
2023-05-09,0.47863448336047076
2023-05-10,0.48200792689673133
2023-05-11,0.4726852911917274
2023-05-12,0.4733140532450626
2023-05-15,0.47889090963170283
2023-05-16,0.48251856263629184
2023-05-17,0.4694621155545609
2023-05-18,0.4772731037721858
2023-05-19,0.47579224776198653
2023-05-22,0.4540135888989092
2023-05-23,0.45988235902498087
2023-05-24,0.48836188839335615
2023-05-25,0.43276191045828033
2023-05-26,0.4392519097154012
2023-05-30,0.43867680160442013
2023-05-31,0.43783637621368626
2023-06-01,0.44346436280389545
2023-06-02,0.4379930118472174
2023-06-05,0.434991853659755
2023-06-06,0.4333668711332918
2023-06-07,0.4461373956697317
2023-06-08,0.44128688813783185
2023-06-09,0.4418553213205459
2023-06-12,0.4273576183514683
2023-06-13,0.42521198924037273
2023-06-14,0.42467033475274374
2023-06-15,0.4061928490096309
2023-06-16,0.4086210469543639
2023-06-20,0.3917180309794252
2023-06-21,0.4069511673781414
2023-06-22,0.4031852372058489
2023-06-23,0.3998945153325066
2023-06-26,0.4203949742903779
2023-06-27,0.42373907138192346
2023-06-28,0.41915200035071765
2023-06-29,0.41695438098516635
2023-06-30,0.41606027034734516
2023-07-03,0.4044663487041237
2023-07-05,0.406183316509781
2023-07-06,0.3982937676647005
2023-07-07,0.40065304462919504
2023-07-10,0.4040689787312093
2023-07-11,0.4038406745405374
2023-07-12,0.4044929219442658
2023-07-13,0.40339441321834874
2023-07-14,0.3950536707126143
2023-07-17,0.3928338662121942
2023-07-18,0.38823559580692385
2023-07-19,0.38618304367089945
2023-07-20,0.4188916316011136
2023-07-21,0.4217094903430633
2023-07-24,0.423831307679635
2023-07-25,0.4221747513607852
2023-07-26,0.3864159661000084
2023-07-27,0.4043167453151213
2023-07-28,0.3969010857271557
2023-07-31,0.4036927073305409
2023-08-01,0.40351769510840174
2023-08-02,0.43211488734508974
2023-08-03,0.43144521303685535
2023-08-04,0.38132227721271
2023-08-07,0.37606172026085094
2023-08-08,0.37695815961022777
2023-08-09,0.3899479194661419
2023-08-10,0.3886152898012927
2023-08-11,0.39131575908763405
2023-08-14,0.39622628404004506
2023-08-15,0.4018300231568736
2023-08-16,0.4085268854537171
2023-08-17,0.4110695150111125
2023-08-18,0.40698718121241745
2023-08-21,0.4082582315456481
2023-08-22,0.4061707956800006
2023-08-23,0.4164090042993863
2023-08-24,0.4247367262957254
